lifesat,age,gender,income,social_trust,discrimination_index,work_stress,religiosity,social_activity,economic_satisfaction,wellbeing
4.0,39.0,2.0,6.0,6.75,2.0,2.6666666666666665,5.25,6.75,3.3333333333333335,2.25
3.0,37.0,1.0,8.0,3.5,2.0,2.5,3.5,6.0,3.3333333333333335,1.75
4.0,21.0,1.0,5.0,4.75,2.0,2.6666666666666665,3.25,6.5,3.3333333333333335,2.0
4.0,42.0,1.0,11.0,4.25,2.0,2.5,4.0,6.0,3.0,2.25
3.0,26.0,1.0,13.0,3.75,2.0,2.3333333333333335,3.25,4.75,3.3333333333333335,1.75
5.0,52.0,2.0,1.0,2.5,2.0,2.6666666666666665,3.75,4.25,3.3333333333333335,3.25
1.0,33.0,1.0,9.0,2.75,2.0,2.6666666666666665,1.75,4.5,3.0,2.0
4.0,42.0,2.0,1.0,3.5,1.6428571428571428,2.6666666666666665,4.25,4.0,3.3333333333333335,2.0
4.0,80.0,2.0,5.0,5.0,1.9285714285714286,2.8333333333333335,3.0,3.25,3.3333333333333335,1.75
2.0,58.0,1.0,7.0,1.0,2.0,4.166666666666667,5.0,7.0,3.6666666666666665,2.0
4.0,41.0,2.0,3.0,3.25,2.0,2.6666666666666665,3.0,5.25,3.6666666666666665,2.0
2.0,49.0,2.0,13.0,2.0,2.0,2.6666666666666665,4.0,4.75,3.6666666666666665,1.75
1.0,19.0,1.0,3.0,0.75,2.0,3.0,3.25,6.75,3.3333333333333335,2.5
3.0,49.0,2.0,5.0,5.25,2.0,2.5,5.5,4.75,4.0,2.0
4.0,44.0,1.0,9.0,6.5,2.0,3.0,4.25,3.75,3.6666666666666665,2.0
3.0,34.0,2.0,6.0,1.75,2.0,4.5,4.25,2.0,3.0,2.0
4.0,55.0,1.0,10.0,4.0,2.0,2.1666666666666665,3.5,7.25,3.3333333333333335,2.75
4.0,63.0,1.0,23.0,4.5,1.9285714285714286,3.0,3.5,3.5,2.0,2.0
4.0,63.0,1.0,7.0,2.25,1.9285714285714286,1.3333333333333333,6.5,6.5,3.6666666666666665,1.75
